Lot,Process001_MachineNo,Process002_MachineNo,Process003_MachineNo,Process004_MachineNo,Process005_MachineNo,Process006_MachineNo,Process007_MachineNo,Process008_MachineNo,Process009_MachineNo,Process010_MachineNo,Process011_MachineNo,Process012_MachineNo,Process013_MachineNo,Process014_MachineNo,Process015_MachineNo,Process016_MachineNo,Process017_MachineNo,Process018_MachineNo,Process019_MachineNo,Process020_MachineNo,Process021_MachineNo,Process022_MachineNo,Process023_MachineNo,Process024_MachineNo,Process025_MachineNo,Process026_MachineNo,Process027_MachineNo,Process028_MachineNo,Process029_MachineNo,Process030_MachineNo,Process031_MachineNo,Process032_MachineNo,Process033_MachineNo,Process034_MachineNo,Process035_MachineNo,Final,CurrentTotalNum,BadNum,TotalNum
WB2018400438-C00001,FN-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,0,25
WB2018400438-C00001,FN-004,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,,,,,,,,,,,,,,,,,,,,,,,,,,,9,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,0,25
WB2018400438-C00001,FN-004,PT-106,FN-007,PT-106,FN-010,PT-106,FN-009,PT-106,FN-009,CR-022,OV-058,,,,,,,,,,,,,,,,,,,,,,,,,11,25,0,25
