YieldRate,BadPiece,Machine
0.04805,80.17703,LS-061
0.78678,21591.00057,PL-021
0.88137,14410.89912,LS-070
0.88267,6424.84677,SW-026
0.8896,2309.05231,GA-549
0.8948,497.05837,DM-002
0.90466,1573502.55737,CR-046
0.90597,59185.5503,OV-123
0.90749,17642.48222,IN-007
0.90837,56015.5352,DK-009
0.91493,1280173.3551,OV-148
0.91637,15053.60428,SW-019
0.94039,56753.30743,ME-006
0.94136,682538.89014,PL-013
0.94617,2108.10873,PL-015
0.95455,42860.42823,LS-053
0.95519,761192.23828,CR-022
0.9612,7509.65152,DK-011
0.96195,8056.01097,LS-020
0.96757,2370.00565,GA-510
0.96832,22963.52336,PL-022
0.97006,14684.54328,PL-003
0.97079,386776.72066,EX-018
0.97287,98357.92172,PL-007
0.97503,393072.50529,OV-058
0.97659,358484.35052,SP-007
0.97866,25062.63078,DK-008
0.97922,3800.07295,DK-004
0.98024,764602.31391,CR-051
0.98374,6962.42581,GA-555
0.99295,30698.62574,OV-077
0.99489,78326.60688,DR-005
0.99505,5309.87862,FN-010
0.99594,1789.17725,RF-028
0.99604,1166.07464,AB-001
0.99626,826.69012,DK-001
0.9963,3294.64569,DK-007
0.99679,31808.8544,EX-002
0.99694,195670.73774,PL-024
0.99708,18402.07443,EX-012
0.9971,420.49705,VE-001
0.99812,1086.23636,LS-022
0.99833,25227.17874,DR-001
0.99861,66786.15527,SP-005
0.99892,705.67744,FT-086
0.99927,50776.94738,DM-005
0.99929,113.33988,MS-021
0.99938,31629.31115,ME-005
0.99947,317.29427,PT-106
0.99951,2186.42933,PT-104
0.99957,382.81905,DK-010
0.99967,195.79662,DK-012
0.99967,4227.24749,PL-002
0.99986,1979.9411,EX-017
0.99987,6327.77632,GP-005
0.99992,946.27348,LK-006
0.99993,10.51409,GA-592
0.99993,518.06981,PL-012
0.99994,1101.4273,PL-010
0.99995,7.78794,GP-008
0.99995,585.90988,PL-023
0.99996,577.91854,DR-004
0.99996,737.11537,GP-007
0.99998,383.34727,DR-007
0.99998,296.66315,DR-006
0.99998,8.96943,GA-490
0.99999,75.98715,EX-004
0.99999,119.66329,PT-100
0.99999,1.62357,HM-010
0.99999,24.28791,EX-016
1.0,0.29209,OV-182
1.0,46.61314,EX-019
1.0,36.38714,OV-121
1.0,1.48105,FT-037
1.0,28.47655,PL-018
1.0,15.65133,PT-086
1.0,18.96047,DM-006
1.0,0.23384,SW-028
1.0,9.13444,PL-006
1.0,2.73292,LS-044
1.0,5.58142,OV-122
1.0,0.54844,LS-075
1.0,0.481,DM-004
1.0,1.09118,HM-006
1.0,0.07317,DK-002
1.0,1.63367,LK-004
1.0,0.05795,FN-007
1.0,1.56686,IS-005
1.0,0.69854,EX-007
1.0,0.06206,LK-007
1.0,0.85091,EX-015
1.0,0.96055,ES-001
1.0,0.70661,PL-017
1.0,0.43096,OV-133
1.0,0.1638,PL-011
1.0,2e-05,GA-573
1.0,0.0692,FT-079
1.0,0.0208,DK-003
1.0,0.01231,GA-559
1.0,0.0375,OV-178
1.0,0.01867,FT-091
1.0,0.42166,SB-001
1.0,0.01695,FT-092
1.0,0.0,FN-004
1.0,0.0,FN-009
1.0,0.03077,ME-007
1.0,0.11817,LU-043
1.0,0.03647,EX-006
1.0,0.0,UC-013
1.0,0.00122,FT-084
1.0,0.00118,GA-593
1.0,0.0,HO-026
1.0,4e-05,OV-141
1.0,0.00326,ME-004
1.0,0.00111,LS-031
1.0,0.00017,FT-066
1.0,9e-05,IS-006
1.0,0.00066,GA-539
1.0,0.00039,LS-055
1.0,7e-05,LS-033
1.0,5e-05,LS-065
1.0,0.0,GA-564
1.0,9e-05,IS-009
1.0,0.0,FT-056
1.0,2e-05,FT-088
1.0,0.0,PT-118
1.0,1e-05,AT-001
1.0,1e-05,LS-051
1.0,0.0,CR-034
1.0,0.0,LS-025
1.0,0.0,FT-087
1.0,0.0,SW-015
1.0,0.0,FT-072
1.0,0.0,CR-049
1.0,0.0,GA-596
1.0,0.0,SM-002
1.0,0.0,FT-055
1.0,0.0,SP-004
1.0,0.0,PL-016
1.0,0.0,FT-081
1.0,0.0,SA-001
1.0,0.0,LS-054
1.0,0.0,FT-077
1.0,0.0,IN-008
1.0,0.0,LS-063
1.0,0.0,FT-057
1.0,0.0,FT-093
1.0,0.0,GA-583
1.0,0.0,FT-089
1.0,0.0,MS-040
1.0,0.0,GA-586
1.0,0.0,MS-039
1.0,0.0,MS-027
1.0,0.0,IN-002
1.0,0.0,GA-584
1.0,0.0,FT-078
1.0,0.0,OV-125
1.0,0.0,GA-553
1.0,0.0,SW-029
1.0,0.0,FT-076
1.0,0.0,GA-550
1.0,0.0,MS-031
