source,target,relation,weight
post_p001,entity_apple,MENTIONS,1.0
post_p001,entity_arizona,MENTIONS,1.0
post_p001,entity_nvidia,MENTIONS,1.0
post_p001,entity_tsmc,MENTIONS,1.0
post_p001,entity_taiwan,MENTIONS,1.0
entity_apple,entity_arizona,CO_MENTIONED_WITH,1.0
entity_apple,entity_nvidia,CO_MENTIONED_WITH,2.0
entity_apple,entity_taiwan,CO_MENTIONED_WITH,2.0
entity_apple,entity_tsmc,CO_MENTIONED_WITH,1.0
entity_arizona,entity_nvidia,CO_MENTIONED_WITH,1.0
entity_arizona,entity_taiwan,CO_MENTIONED_WITH,1.0
entity_arizona,entity_tsmc,CO_MENTIONED_WITH,1.0
entity_nvidia,entity_taiwan,CO_MENTIONED_WITH,2.0
entity_nvidia,entity_tsmc,CO_MENTIONED_WITH,1.0
entity_taiwan,entity_tsmc,CO_MENTIONED_WITH,1.0
entity_apple,topic_semiconductors,BELONGS_TO,2.0
entity_arizona,topic_semiconductors,BELONGS_TO,1.0
entity_nvidia,topic_semiconductors,BELONGS_TO,2.0
entity_tsmc,topic_semiconductors,BELONGS_TO,1.0
entity_taiwan,topic_semiconductors,BELONGS_TO,2.0
post_p002,entity_analysts,MENTIONS,1.0
post_p002,entity_microsoft,MENTIONS,1.0
post_p002,entity_nvidia,MENTIONS,1.0
post_p002,entity_nvidia_gpu,MENTIONS,1.0
post_p002,entity_openai,MENTIONS,1.0
entity_analysts,entity_microsoft,CO_MENTIONED_WITH,1.0
entity_analysts,entity_nvidia,CO_MENTIONED_WITH,1.0
entity_analysts,entity_nvidia_gpu,CO_MENTIONED_WITH,1.0
entity_analysts,entity_openai,CO_MENTIONED_WITH,1.0
entity_microsoft,entity_nvidia,CO_MENTIONED_WITH,2.0
entity_microsoft,entity_nvidia_gpu,CO_MENTIONED_WITH,1.0
entity_microsoft,entity_openai,CO_MENTIONED_WITH,2.0
entity_nvidia,entity_nvidia_gpu,CO_MENTIONED_WITH,1.0
entity_nvidia,entity_openai,CO_MENTIONED_WITH,1.0
entity_nvidia_gpu,entity_openai,CO_MENTIONED_WITH,1.0
entity_analysts,topic_ai,BELONGS_TO,1.0
entity_microsoft,topic_ai,BELONGS_TO,3.0
entity_nvidia,topic_ai,BELONGS_TO,3.0
entity_nvidia_gpu,topic_ai,BELONGS_TO,1.0
entity_openai,topic_ai,BELONGS_TO,2.0
entity_analysts,topic_cloud_infrastructure,BELONGS_TO,1.0
entity_microsoft,topic_cloud_infrastructure,BELONGS_TO,2.0
entity_nvidia,topic_cloud_infrastructure,BELONGS_TO,3.0
entity_nvidia_gpu,topic_cloud_infrastructure,BELONGS_TO,1.0
entity_openai,topic_cloud_infrastructure,BELONGS_TO,1.0
post_p003,entity_china,MENTIONS,1.0
post_p003,entity_geneva,MENTIONS,1.0
post_p003,entity_geneva_officials,MENTIONS,1.0
post_p003,entity_united_states,MENTIONS,1.0
entity_china,entity_geneva,CO_MENTIONED_WITH,1.0
entity_china,entity_geneva_officials,CO_MENTIONED_WITH,1.0
entity_china,entity_united_states,CO_MENTIONED_WITH,1.0
entity_geneva,entity_geneva_officials,CO_MENTIONED_WITH,1.0
entity_geneva,entity_united_states,CO_MENTIONED_WITH,1.0
entity_geneva_officials,entity_united_states,CO_MENTIONED_WITH,1.0
entity_china,topic_semiconductors,BELONGS_TO,1.0
entity_geneva,topic_semiconductors,BELONGS_TO,1.0
entity_geneva_officials,topic_semiconductors,BELONGS_TO,1.0
entity_united_states,topic_semiconductors,BELONGS_TO,1.0
entity_china,topic_geopolitics,BELONGS_TO,1.0
entity_geneva,topic_geopolitics,BELONGS_TO,1.0
entity_geneva_officials,topic_geopolitics,BELONGS_TO,1.0
entity_united_states,topic_geopolitics,BELONGS_TO,2.0
post_p004,entity_european_union,MENTIONS,1.0
post_p004,entity_russian,MENTIONS,1.0
post_p004,entity_ukraine,MENTIONS,1.0
entity_european_union,entity_russian,CO_MENTIONED_WITH,1.0
