source,target,relation,weight
post_w001,entity_ethereum,MENTIONS,1.0
post_w001,entity_pectra,MENTIONS,1.0
entity_ethereum,entity_pectra,CO_MENTIONED_WITH,1.0
entity_ethereum,topic_security,BELONGS_TO,1.0
entity_pectra,topic_security,BELONGS_TO,1.0
entity_ethereum,topic_restaking,BELONGS_TO,2.0
entity_pectra,topic_restaking,BELONGS_TO,1.0
post_w002,entity_defi,MENTIONS,1.0
post_w002,entity_ethereum,MENTIONS,1.0
post_w002,entity_uni,MENTIONS,1.0
post_w002,entity_uniswap,MENTIONS,1.0
post_w002,entity_uniswap_dao,MENTIONS,1.0
entity_defi,entity_ethereum,CO_MENTIONED_WITH,3.0
entity_defi,entity_uni,CO_MENTIONED_WITH,1.0
entity_defi,entity_uniswap,CO_MENTIONED_WITH,1.0
entity_defi,entity_uniswap_dao,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_uni,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_uniswap,CO_MENTIONED_WITH,1.0
entity_ethereum,entity_uniswap_dao,CO_MENTIONED_WITH,1.0
entity_uni,entity_uniswap,CO_MENTIONED_WITH,1.0
entity_uni,entity_uniswap_dao,CO_MENTIONED_WITH,1.0
entity_uniswap,entity_uniswap_dao,CO_MENTIONED_WITH,1.0
entity_defi,topic_defi,BELONGS_TO,3.0
entity_ethereum,topic_defi,BELONGS_TO,3.0
entity_uni,topic_defi,BELONGS_TO,1.0
entity_uniswap,topic_defi,BELONGS_TO,1.0
entity_uniswap_dao,topic_defi,BELONGS_TO,1.0
entity_defi,topic_governance,BELONGS_TO,1.0
entity_ethereum,topic_governance,BELONGS_TO,1.0
entity_uni,topic_governance,BELONGS_TO,1.0
entity_uniswap,topic_governance,BELONGS_TO,1.0
entity_uniswap_dao,topic_governance,BELONGS_TO,1.0
post_w003,entity_bitcoin,MENTIONS,1.0
post_w003,entity_bitcoin_etf,MENTIONS,1.0
post_w003,entity_blackrock,MENTIONS,1.0
post_w003,entity_fidelity,MENTIONS,1.0
entity_bitcoin,entity_bitcoin_etf,CO_MENTIONED_WITH,1.0
entity_bitcoin,entity_blackrock,CO_MENTIONED_WITH,1.0
entity_bitcoin,entity_fidelity,CO_MENTIONED_WITH,1.0
entity_bitcoin_etf,entity_blackrock,CO_MENTIONED_WITH,1.0
entity_bitcoin_etf,entity_fidelity,CO_MENTIONED_WITH,1.0
entity_blackrock,entity_fidelity,CO_MENTIONED_WITH,1.0
entity_bitcoin,topic_defi,BELONGS_TO,1.0
entity_bitcoin_etf,topic_defi,BELONGS_TO,1.0
entity_blackrock,topic_defi,BELONGS_TO,1.0
entity_fidelity,topic_defi,BELONGS_TO,1.0
entity_bitcoin,topic_institutional_crypto,BELONGS_TO,1.0
entity_bitcoin_etf,topic_institutional_crypto,BELONGS_TO,1.0
entity_blackrock,topic_institutional_crypto,BELONGS_TO,1.0
entity_fidelity,topic_institutional_crypto,BELONGS_TO,1.0
post_w004,entity_depin,MENTIONS,1.0
post_w004,entity_jupiter,MENTIONS,1.0
post_w004,entity_solana,MENTIONS,1.0
entity_depin,entity_jupiter,CO_MENTIONED_WITH,1.0
entity_depin,entity_solana,CO_MENTIONED_WITH,1.0
entity_jupiter,entity_solana,CO_MENTIONED_WITH,1.0
entity_depin,topic_defi,BELONGS_TO,1.0
entity_jupiter,topic_defi,BELONGS_TO,1.0
entity_solana,topic_defi,BELONGS_TO,1.0
post_w005,entity_arbitrum,MENTIONS,1.0
post_w005,entity_base,MENTIONS,1.0
